date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-06-2025,West Bengal,Birbhum,731204,139,65,17
03-09-2025,West Bengal,Birbhum,731101,3,1,0
03-09-2025,West Bengal,Birbhum,731103,7,0,0
03-09-2025,West Bengal,Birbhum,731127,1,2,0
03-09-2025,West Bengal,Birbhum,731133,3,2,0
03-09-2025,West Bengal,Birbhum,731220,15,2,0
03-09-2025,West Bengal,Birbhum,731237,6,0,0
03-09-2025,West Bengal,Birbhum,731242,1,0,0
03-09-2025,West Bengal,Birbhum,731303,7,3,0
02-09-2025,West Bengal,Birbhum,731123,8,1,0
02-09-2025,West Bengal,Birbhum,731127,5,1,0
02-09-2025,West Bengal,Birbhum,731132,2,0,0
02-09-2025,West Bengal,Birbhum,731133,2,1,0
02-09-2025,West Bengal,Birbhum,731204,5,0,0
02-09-2025,West Bengal,Birbhum,731214,1,0,0
02-09-2025,West Bengal,Birbhum,731218,1,0,0
02-09-2025,West Bengal,Birbhum,731245,1,0,0
02-09-2025,West Bengal,Birbhum,731301,0,1,0
02-09-2025,West Bengal,Birbhum,731302,2,0,0
01-09-2025,West Bengal,Birbhum,731123,19,1,0
01-09-2025,West Bengal,Birbhum,731124,8,1,0
01-09-2025,West Bengal,Birbhum,731215,1,0,0
01-09-2025,West Bengal,Birbhum,731216,5,0,0
01-09-2025,West Bengal,Birbhum,731219,10,0,0
01-09-2025,West Bengal,Birbhum,731220,2,0,0
01-09-2025,West Bengal,Birbhum,731224,0,4,0
01-09-2025,West Bengal,Birbhum,731235,3,2,0
01-09-2025,West Bengal,Birbhum,731236,4,2,0
01-09-2025,West Bengal,Birbhum,731245,2,0,0
01-09-2025,West Bengal,Birbhum,731302,1,1,0
06-09-2025,West Bengal,Birbhum,731124,20,1,0
06-09-2025,West Bengal,Birbhum,731215,1,0,0
05-09-2025,West Bengal,Birbhum,731101,1,0,0
05-09-2025,West Bengal,Birbhum,731104,1,0,0
05-09-2025,West Bengal,Birbhum,731236,1,0,0
05-09-2025,West Bengal,Birbhum,731243,5,0,0
04-09-2025,West Bengal,Birbhum,731216,2,0,0
04-09-2025,West Bengal,Birbhum,731236,6,1,0
04-09-2025,West Bengal,Birbhum,731301,1,0,0
04-09-2025,West Bengal,Birbhum,731302,2,0,0
07-09-2025,West Bengal,Birbhum,713129,1,0,0
07-09-2025,West Bengal,Birbhum,731123,3,0,0
07-09-2025,West Bengal,Birbhum,731125,2,0,0
07-09-2025,West Bengal,Birbhum,731234,3,0,0
07-09-2025,West Bengal,Birbhum,731237,2,1,0
09-09-2025,West Bengal,Birbhum,731124,5,0,0
09-09-2025,West Bengal,Birbhum,731130,2,1,0
09-09-2025,West Bengal,Birbhum,731213,8,1,0
09-09-2025,West Bengal,Birbhum,731219,8,5,0
09-09-2025,West Bengal,Birbhum,731221,9,1,0
09-09-2025,West Bengal,Birbhum,731241,1,0,0
09-09-2025,West Bengal,Birbhum,731301,0,0,1
08-09-2025,West Bengal,Birbhum,731101,8,0,0
08-09-2025,West Bengal,Birbhum,731127,3,0,0
08-09-2025,West Bengal,Birbhum,731201,7,0,0
08-09-2025,West Bengal,Birbhum,731214,20,0,0
08-09-2025,West Bengal,Birbhum,731237,17,1,0
08-09-2025,West Bengal,Birbhum,731238,19,2,0
08-09-2025,West Bengal,Birbhum,731244,1,0,0
08-09-2025,West Bengal,Birbhum,731301,1,0,0
08-09-2025,West Bengal,Birbhum,731302,1,0,0
10-09-2025,West Bengal,Birbhum,731123,5,1,0
10-09-2025,West Bengal,Birbhum,731125,0,1,0
10-09-2025,West Bengal,Birbhum,731127,3,2,0
10-09-2025,West Bengal,Birbhum,731213,2,0,0
10-09-2025,West Bengal,Birbhum,731214,10,2,0
10-09-2025,West Bengal,Birbhum,731216,10,2,0
10-09-2025,West Bengal,Birbhum,731224,3,1,0
10-09-2025,West Bengal,Birbhum,731240,2,0,0
10-09-2025,West Bengal,Birbhum,731241,1,1,0
10-09-2025,West Bengal,Birbhum,731245,1,0,0
11-09-2025,West Bengal,Birbhum,731103,2,0,0
11-09-2025,West Bengal,Birbhum,731124,9,1,0
11-09-2025,West Bengal,Birbhum,731126,2,0,0
11-09-2025,West Bengal,Birbhum,731216,5,0,0
11-09-2025,West Bengal,Birbhum,731224,1,1,0
11-09-2025,West Bengal,Birbhum,731237,9,2,0
11-09-2025,West Bengal,Birbhum,731243,8,0,0
11-09-2025,West Bengal,Birbhum,731301,1,0,0
14-09-2025,West Bengal,Birbhum,731216,1,0,0
12-09-2025,West Bengal,Birbhum,731101,1,1,0
12-09-2025,West Bengal,Birbhum,731133,2,1,0
